Date,Contract,Price,Position,New Trade Action,Pnl Daily
12/08/2019,OCT 19,27264.76,4,0,1287.64
13/08/2019,OCT 19,27543.15,4,0,-1016.88
14/08/2019,OCT 19,27571.49,4,0,-1642.96
15/08/2019,OCT 19,27598.82,4,0,-1752.28
16/08/2019,OCT 19,27021.81,4,0,737.4
19/08/2019,OCT 19,26925.64,4,0,3370.84
20/08/2019,NOV 19,26905.4,4,0,5268.56
21/08/2019,NOV 19,26627.01,4,0,6022.8
22/08/2019,NOV 19,26606.77,4,0,8077.96
23/08/2019,NOV 19,26308.14,4,3,10253.52
27/08/2019,NOV 19,26181.6,7,2,18349.03
28/08/2019,NOV 19,26184.64,9,0,22837.5
29/08/2019,NOV 19,26230.19,9,0,23517.63
30/08/2019,NOV 19,26792.02,9,-4,21731.31
02/09/2019,NOV 19,27249.58,5,-1,6520.05
03/09/2019,NOV 19,27159.48,4,3,2859.4
04/09/2019,NOV 19,27654.5,7,1,6364.26
05/09/2019,NOV 19,27905.55,8,-3,2770.08
06/09/2019,NOV 19,27826.59,5,0,1222.75
09/09/2019,NOV 19,27750.67,5,0,643.5
10/09/2019,NOV 19,27877.2,5,0,1277.55
11/09/2019,NOV 19,28236.57,5,2,-1523.55
12/09/2019,NOV 19,27578.58,7,0,2282.14
13/09/2019,NOV 19,26921.59,7,-2,7093.03
16/09/2019,NOV 19,27606.92,5,0,484.15
17/09/2019,DEC 19,27278.94,5,-1,1261.1
18/09/2019,DEC 19,27102.8,4,0,889.84
19/09/2019,DEC 19,26905.4,4,0,2999.64
20/09/2019,DEC 19,27160.5,4,0,3190.4
23/09/2019,DEC 19,26963.1,4,0,3665.08
24/09/2019,DEC 19,26935.77,4,0,3766.32
25/09/2019,DEC 19,26966.13,4,0,3067.56
26/09/2019,DEC 19,26735.33,4,0,4261.28
27/09/2019,DEC 19,26563.24,4,0,5143.4
30/09/2019,DEC 19,26353.69,4,0,6005.84
01/10/2019,DEC 19,26685.73,4,0,4968.36
02/10/2019,DEC 19,26989.42,4,0,3753.6
03/10/2019,DEC 19,26915.52,4,0,4662.84
04/10/2019,DEC 19,26915.52,4,1,5462.24
07/10/2019,DEC 19,26768.74,5,0,8949.5
08/10/2019,DEC 19,26836.56,5,0,7596
09/10/2019,DEC 19,26890.21,5,0,6444.65
10/10/2019,DEC 19,26896.29,5,0,6782.65
11/10/2019,DEC 19,26974.23,5,0,4878.95
14/10/2019,DEC 19,26971.2,5,0,6054.8
15/10/2019,JAN 20,27123.04,5,0,4785.9
16/10/2019,JAN 20,27323.48,5,0,4038.55
17/10/2019,JAN 20,27601.86,5,0,3305.25
18/10/2019,JAN 20,27403.45,5,2,4019.75
21/10/2019,JAN 20,27226.3,7,0,4924.78
22/10/2019,JAN 20,27300.19,7,0,4372.2
23/10/2019,JAN 20,26996.5,7,0,5798.59
24/10/2019,JAN 20,27224.27,7,0,4419.66
25/10/2019,JAN 20,27124.05,7,0,5923.12
28/10/2019,JAN 20,27175.17,7,-2,5635.91
29/10/2019,JAN 20,27300.19,5,0,4031.4
30/10/2019,JAN 20,27251.6,5,-1,3648.55
31/10/2019,JAN 20,26971.2,4,0,3095.72
01/11/2019,JAN 20,26971.2,4,1,1727.12
04/11/2019,JAN 20,26870.98,5,-1,3669.3
05/11/2019,JAN 20,26900.34,4,0,2402.16
06/11/2019,JAN 20,27013.71,4,0,1795.28
07/11/2019,JAN 20,27021.81,4,0,1492.36
08/11/2019,JAN 20,27148.35,4,0,1123.48
11/11/2019,JAN 20,27023.84,4,0,3107.24
12/11/2019,JAN 20,26785.95,4,0,3856.92
13/11/2019,JAN 20,26439.74,4,0,5730.28
14/11/2019,JAN 20,26644.22,4,0,4331
15/11/2019,JAN 20,26544.01,4,0,5038.64
18/11/2019,JAN 20,26504.53,4,0,5281.36
19/11/2019,FEB 20,26429.62,4,0,5899.92
20/11/2019,FEB 20,26464.03,4,0,5742.12
21/11/2019,FEB 20,26841.62,4,0,5281.44
22/11/2019,FEB 20,26791.01,4,0,5483.88
25/11/2019,FEB 20,26913.49,4,0,5195.8
26/11/2019,FEB 20,26763.67,4,0,6905.32
27/11/2019,FEB 20,26840.61,4,0,6819.6
28/11/2019,FEB 20,26866.93,4,0,7784.2
29/11/2019,FEB 20,26942.85,4,3,7048.52
02/12/2019,FEB 20,26935.77,7,0,12101.88
03/12/2019,FEB 20,27198.96,7,0,10061.73
04/12/2019,FEB 20,27204.03,7,0,9708.3
05/12/2019,FEB 20,27249.58,7,0,10378.62
06/12/2019,FEB 20,27536.06,7,0,8161.3
09/12/2019,FEB 20,27579.59,7,0,8492.4
10/12/2019,FEB 20,27849.87,7,-2,4926.04
11/12/2019,FEB 20,27750.67,5,0,618.3
12/12/2019,FEB 20,27710.18,5,2,4267.5
13/12/2019,FEB 20,27684.87,7,0,3968.58
16/12/2019,FEB 20,27634.25,7,1,3058.23
17/12/2019,MAR 20,27770.91,8,0,867.68
18/12/2019,MAR 20,27740.54,8,0,3137.36
19/12/2019,MAR 20,27831.65,8,0,801.68
20/12/2019,MAR 20,27796.22,8,-3,867.04
23/12/2019,MAR 20,27755.73,5,0,895.75
24/12/2019,MAR 20,27578.58,5,2,625.85
27/12/2019,MAR 20,27575.54,7,1,-310.66
30/12/2019,MAR 20,27451.03,8,0,-1006.16
31/12/2019,MAR 20,27629.19,8,0,208.96
02/01/2020,MAR 20,27645.39,8,0,2501.68
03/01/2020,MAR 20,27248.57,8,0,5046.4
06/01/2020,MAR 20,27300.19,8,0,4617.28
07/01/2020,MAR 20,27458.11,8,0,2199.28
08/01/2020,MAR 20,27598.82,8,0,1614.64
09/01/2020,MAR 20,27708.15,8,0,10211.28
